Date,2mm Top/ Shorty/ Spring/ Skin,2-3/2 Springsuit--FullSuit,___3/2---4/3 Full Wetsuit  and  Boots,4/3-5/4FullSuit_Boots_Gloves_Hood,5/4FullSuit_Boots_Gloves_Hood,6/5FullSuit_Boots_Gloves_Hood,WATER_TEMP,Air-Temp
2025-08-01 00:00,64,62,58,52,43,42,58.88,63.05
2025-08-01 01:00,64,62,58,52,43,42,58.88,60.98
2025-08-01 02:00,64,62,58,52,43,42,58.88,58.0
2025-08-01 03:00,64,62,58,52,43,42,58.88,57.78
2025-08-01 04:00,64,62,58,52,43,42,58.89,59.13
2025-08-01 05:00,64,62,58,52,43,42,58.89,58.15
2025-08-01 06:00,64,62,58,52,43,42,58.89,57.05
2025-08-01 07:00,64,62,58,52,43,42,58.89,58.59
2025-08-01 08:00,64,62,58,52,43,42,58.9,60.72
2025-08-01 09:00,64,62,58,52,43,42,58.9,66.16
2025-08-01 10:00,64,62,58,52,43,42,58.89,71.21
2025-08-01 11:00,64,62,58,52,43,42,58.89,75.14
2025-08-01 12:00,64,62,58,52,43,42,58.89,79.12
2025-08-01 13:00,64,62,58,52,43,42,58.88,80.6
2025-08-01 14:00,64,62,58,52,43,42,58.87,83.6
2025-08-01 15:00,64,62,58,52,43,42,58.87,80.8
2025-08-01 16:00,64,62,58,52,43,42,58.85,82.9
2025-08-01 17:00,64,62,58,52,43,42,58.85,77.17
2025-08-01 18:00,64,62,58,52,43,42,58.84,76.46
2025-08-01 19:00,64,62,58,52,43,42,58.82,75.12
2025-08-01 20:00,64,62,58,52,43,42,58.81,73.78
2025-08-01 21:00,64,62,58,52,43,42,58.8,71.65
2025-08-01 22:00,64,62,58,52,43,42,58.8,64.95
2025-08-01 23:00,64,62,58,52,43,42,58.79,63.18
2025-08-02 00:00,64,62,58,52,43,42,58.78,60.61
2025-08-02 01:00,64,62,58,52,43,42,58.78,60.25
2025-08-02 02:00,64,62,58,52,43,42,58.78,58.82
2025-08-02 03:00,64,62,58,52,43,42,58.77,59.17
2025-08-02 04:00,64,62,58,52,43,42,58.77,56.36
2025-08-02 05:00,64,62,58,52,43,42,58.77,56.12
2025-08-02 06:00,64,62,58,52,43,42,58.77,55.71
2025-08-02 07:00,64,62,58,52,43,42,58.77,57.28
2025-08-02 08:00,64,62,58,52,43,42,58.77,62.05
2025-08-02 09:00,64,62,58,52,43,42,58.77,67.35
2025-08-02 10:00,64,62,58,52,43,42,58.76,72.91
2025-08-02 11:00,64,62,58,52,43,42,58.76,74.84
2025-08-02 12:00,64,62,58,52,43,42,58.75,76.22
2025-08-02 13:00,64,62,58,52,43,42,58.74,79.85
2025-08-02 14:00,64,62,58,52,43,42,58.73,80.8
2025-08-02 15:00,64,62,58,52,43,42,58.72,82.8
2025-08-02 16:00,64,62,58,52,43,42,58.71,84.5
2025-08-02 17:00,64,62,58,52,43,42,58.7,80.5
2025-08-02 18:00,64,62,58,52,43,42,58.68,72.3
2025-08-02 19:00,64,62,58,52,43,42,58.67,64.59
2025-08-02 20:00,64,62,58,52,43,42,58.66,64.13
2025-08-02 21:00,64,62,58,52,43,42,58.65,63.32
2025-08-02 22:00,64,62,58,52,43,42,58.64,61.38
2025-08-02 23:00,64,62,58,52,43,42,58.63,60.99
2025-08-03 00:00,64,62,58,52,43,42,58.63,59.9
2025-08-03 01:00,64,62,58,52,43,42,58.63,57.64
2025-08-03 02:00,64,62,58,52,43,42,58.63,56.09
2025-08-03 03:00,64,62,58,52,43,42,58.63,54.36
2025-08-03 04:00,64,62,58,52,43,42,58.63,53.56
2025-08-03 05:00,64,62,58,52,43,42,58.64,52.34
2025-08-03 06:00,64,62,58,52,43,42,58.65,52.06
2025-08-03 07:00,64,62,58,52,43,42,58.65,54.81
2025-08-03 08:00,64,62,58,52,43,42,58.65,57.8
2025-08-03 09:00,64,62,58,52,43,42,58.66,63.44
2025-08-03 10:00,64,62,58,52,43,42,58.66,70.55
2025-08-03 11:00,64,62,58,52,43,42,58.66,72.71
2025-08-03 12:00,64,62,58,52,43,42,58.66,74.99
2025-08-03 13:00,64,62,58,52,43,42,58.66,77.85
2025-08-03 14:00,64,62,58,52,43,42,58.66,78.05
2025-08-03 15:00,64,62,58,52,43,42,58.66,60.67
2025-08-03 16:00,64,62,58,52,43,42,58.65,60.12
2025-08-03 17:00,64,62,58,52,43,42,58.65,59.17
2025-08-03 18:00,64,62,58,52,43,42,58.64,58.47
2025-08-03 19:00,64,62,58,52,43,42,58.64,62.17
2025-08-03 20:00,64,62,58,52,43,42,58.63,63.35
2025-08-03 21:00,64,62,58,52,43,42,58.62,60.15
2025-08-03 22:00,64,62,58,52,43,42,58.61,58.12
2025-08-03 23:00,64,62,58,52,43,42,58.6,56.22
2025-08-04 00:00,64,62,58,52,43,42,58.6,56.0
2025-08-04 01:00,64,62,58,52,43,42,58.59,56.53
2025-08-04 02:00,64,62,58,52,43,42,58.59,55.1
2025-08-04 03:00,64,62,58,52,43,42,58.58,55.37
2025-08-04 04:00,64,62,58,52,43,42,58.58,52.76
2025-08-04 05:00,64,62,58,52,43,42,58.57,52.4
2025-08-04 06:00,64,62,58,52,43,42,58.57,51.38
2025-08-04 07:00,64,62,58,52,43,42,58.56,50.7
2025-08-04 08:00,64,62,58,52,43,42,58.56,56.4
2025-08-04 09:00,64,62,58,52,43,42,58.55,60.4
2025-08-04 10:00,64,62,58,52,43,42,58.54,64.97
2025-08-04 11:00,64,62,58,52,43,42,58.53,65.85
2025-08-04 12:00,64,62,58,52,43,42,58.52,70.32
