Date,below_Wickiup_Res,BENO,CENO,ARNO,HeadOfPark,LAPO
2024-12-07 09:45,110.00,442.00,0,0.00,411.06,65.50
2024-12-07 10:00,110.00,446.00,0,0.00,414.78,64.80
2024-12-07 10:15,110.00,446.00,0,0.00,414.78,64.80
2024-12-07 10:30,110.00,446.00,0,0.00,414.78,64.80
2024-12-07 10:45,110.00,446.00,0,0.00,414.78,64.80
2024-12-07 11:00,110.00,446.00,0,0.00,414.78,65.50
2024-12-07 11:15,110.00,446.00,0,0.00,414.78,65.50
2024-12-07 11:30,110.00,446.00,0,0.00,414.78,66.30
2024-12-07 11:45,110.00,442.00,0,0.00,411.06,67.10
2024-12-07 12:00,110.00,442.00,0,0.00,411.06,67.90
2024-12-07 12:15,110.00,446.00,0,0.00,414.78,67.90
2024-12-07 12:30,110.00,442.00,0,0.00,411.06,68.70
2024-12-07 12:45,110.00,446.00,0,0.00,414.78,69.50
2024-12-07 13:00,110.00,446.00,0,0.00,414.78,70.30
2024-12-07 13:15,110.00,446.00,0,0.00,414.78,71.10
2024-12-07 13:30,110.00,442.00,0,0.00,411.06,71.10
2024-12-07 13:45,110.00,442.00,0,0.00,411.06,71.10
2024-12-07 14:00,110.00,442.00,0,0.00,411.06,71.10
2024-12-07 14:15,110.00,442.00,0,0.00,411.06,71.10
2024-12-07 14:30,110.00,442.00,0,0.00,411.06,71.10
2024-12-07 14:45,110.00,442.00,0,0.00,411.06,71.10
2024-12-07 15:00,110.00,442.00,0,0.00,411.06,70.30
2024-12-07 15:15,110.00,442.00,0,0.00,411.06,69.50
2024-12-07 15:30,110.00,446.00,0,0.00,414.78,69.50
2024-12-07 15:45,110.00,446.00,0,0.00,414.78,68.70
2024-12-07 16:00,110.00,446.00,0,0.00,414.78,67.90
2024-12-07 16:15,110.00,446.00,0,0.00,414.78,67.10
2024-12-07 16:30,110.00,446.00,0,0.00,414.78,66.30
2024-12-07 16:45,110.00,446.00,0,0.00,414.78,66.30
2024-12-07 17:00,110.00,446.00,0,0.00,414.78,65.50
2024-12-07 17:15,110.00,446.00,0,0.00,414.78,64.80
